subj_idx,isblow,pump_idx,choice,reward,reaction_time,trial,HE,PCPP
777611.0,0.0,2.0,1.0,2.0,339.0,3.0,3.0,0.0
777611.0,0.0,3.0,1.0,3.0,398.0,3.0,3.0,0.0
777611.0,0.0,4.0,1.0,4.0,412.0,3.0,3.0,0.0
777611.0,0.0,5.0,1.0,5.0,345.0,3.0,3.0,0.0
777611.0,0.0,6.0,1.0,6.0,452.0,3.0,3.0,2.0
777611.0,0.0,7.0,0.0,7.0,351.0,3.0,3.0,0.0
777611.0,0.0,1.0,1.0,1.0,565.0,4.0,3.0,0.0
777611.0,0.0,2.0,1.0,2.0,386.0,4.0,3.0,0.0
777611.0,0.0,3.0,1.0,3.0,362.0,4.0,3.0,0.0
777611.0,0.0,4.0,1.0,4.0,455.0,4.0,3.0,0.0
777611.0,0.0,5.0,1.0,5.0,481.0,4.0,3.0,0.0
777611.0,0.0,6.0,1.0,6.0,372.0,4.0,3.0,2.0
777611.0,0.0,7.0,0.0,7.0,392.0,4.0,3.0,0.0
777611.0,0.0,1.0,1.0,1.0,693.0,5.0,3.0,0.0
777611.0,0.0,2.0,1.0,2.0,397.0,5.0,3.0,0.0
777611.0,0.0,3.0,1.0,3.0,392.0,5.0,3.0,0.0
777611.0,0.0,4.0,1.0,4.0,363.0,5.0,3.0,0.0
777611.0,0.0,5.0,1.0,5.0,310.0,5.0,3.0,1.0
777611.0,1.0,6.0,1.0,0.0,340.0,5.0,3.0,0.0
777611.0,0.0,1.0,1.0,1.0,735.0,6.0,5.0,0.0
777611.0,0.0,2.0,1.0,2.0,395.0,6.0,5.0,0.0
777611.0,0.0,3.0,1.0,3.0,417.0,6.0,5.0,0.0
777611.0,0.0,4.0,1.0,4.0,305.0,6.0,5.0,0.0
777611.0,0.0,5.0,1.0,5.0,308.0,6.0,5.0,1.0
777611.0,1.0,6.0,1.0,0.0,350.0,6.0,5.0,0.0
777611.0,0.0,1.0,1.0,1.0,664.0,7.0,5.0,0.0
777611.0,0.0,2.0,1.0,2.0,259.0,7.0,5.0,0.0
777611.0,0.0,3.0,1.0,3.0,445.0,7.0,5.0,0.0
777611.0,0.0,4.0,1.0,4.0,350.0,7.0,5.0,0.0
777611.0,0.0,5.0,1.0,5.0,547.0,7.0,5.0,2.0
777611.0,0.0,6.0,0.0,6.0,743.0,7.0,5.0,0.0
777611.0,0.0,1.0,1.0,1.0,543.0,8.0,3.0,0.0
777611.0,0.0,2.0,1.0,2.0,365.0,8.0,3.0,0.0
777611.0,0.0,3.0,1.0,3.0,146.0,8.0,3.0,0.0
777611.0,0.0,4.0,1.0,4.0,385.0,8.0,3.0,0.0
777611.0,0.0,5.0,1.0,5.0,369.0,8.0,3.0,2.0
777611.0,0.0,6.0,0.0,6.0,404.0,8.0,3.0,0.0
777611.0,0.0,1.0,1.0,1.0,799.0,9.0,3.0,0.0
777611.0,0.0,2.0,1.0,2.0,297.0,9.0,3.0,0.0
777611.0,0.0,3.0,1.0,3.0,381.0,9.0,3.0,0.0
777611.0,0.0,4.0,1.0,4.0,428.0,9.0,3.0,1.0
777611.0,1.0,5.0,1.0,0.0,556.0,9.0,3.0,0.0
777611.0,0.0,1.0,1.0,1.0,732.0,10.0,5.0,0.0
777611.0,0.0,2.0,1.0,2.0,300.0,10.0,5.0,0.0
777611.0,0.0,3.0,1.0,3.0,245.0,10.0,5.0,0.0
777611.0,0.0,4.0,1.0,4.0,575.0,10.0,5.0,0.0
777611.0,0.0,5.0,1.0,5.0,356.0,10.0,5.0,1.0
777611.0,1.0,6.0,1.0,0.0,386.0,10.0,5.0,0.0
777611.0,0.0,1.0,1.0,1.0,371.0,11.0,5.0,0.0
777611.0,0.0,2.0,1.0,2.0,319.0,11.0,5.0,0.0
777611.0,0.0,3.0,1.0,3.0,317.0,11.0,5.0,0.0
777611.0,0.0,4.0,1.0,4.0,446.0,11.0,5.0,0.0
777611.0,0.0,5.0,1.0,5.0,479.0,11.0,5.0,2.0
777611.0,0.0,6.0,0.0,6.0,446.0,11.0,5.0,0.0
777611.0,0.0,1.0,1.0,1.0,1213.0,12.0,3.0,0.0
777611.0,0.0,2.0,1.0,2.0,246.0,12.0,3.0,0.0
777611.0,0.0,3.0,1.0,3.0,455.0,12.0,3.0,0.0
777611.0,0.0,4.0,1.0,4.0,472.0,12.0,3.0,1.0
777611.0,1.0,5.0,1.0,0.0,399.0,12.0,3.0,0.0
777611.0,0.0,1.0,1.0,1.0,611.0,13.0,5.0,0.0
777611.0,0.0,2.0,1.0,2.0,365.0,13.0,5.0,0.0
777611.0,0.0,3.0,1.0,3.0,340.0,13.0,5.0,0.0
777611.0,0.0,4.0,1.0,4.0,423.0,13.0,5.0,2.0
777611.0,0.0,5.0,0.0,5.0,462.0,13.0,5.0,0.0
777611.0,0.0,1.0,1.0,1.0,683.0,14.0,3.0,0.0
777611.0,0.0,2.0,1.0,2.0,348.0,14.0,3.0,1.0
777611.0,1.0,3.0,1.0,0.0,1012.0,14.0,3.0,0.0
777611.0,0.0,1.0,1.0,1.0,511.0,15.0,5.0,0.0
777611.0,0.0,2.0,1.0,2.0,325.0,15.0,5.0,0.0
778711.0,0.0,1.0,1.0,1.0,956.0,1.0,0.0,0.0
778711.0,0.0,2.0,1.0,2.0,534.0,1.0,0.0,0.0
778711.0,0.0,3.0,1.0,3.0,405.0,1.0,0.0,0.0
778711.0,0.0,4.0,1.0,4.0,459.0,1.0,0.0,0.0
778711.0,0.0,5.0,1.0,5.0,391.0,1.0,0.0,2.0
778711.0,0.0,6.0,0.0,6.0,507.0,1.0,0.0,0.0
778711.0,0.0,1.0,1.0,1.0,661.0,2.0,3.0,0.0
778711.0,0.0,2.0,1.0,2.0,420.0,2.0,3.0,0.0
778711.0,0.0,3.0,1.0,3.0,465.0,2.0,3.0,0.0
778711.0,0.0,4.0,1.0,4.0,466.0,2.0,3.0,0.0
778711.0,0.0,5.0,1.0,5.0,428.0,2.0,3.0,1.0
778711.0,1.0,6.0,1.0,0.0,438.0,2.0,3.0,0.0
778711.0,0.0,1.0,1.0,1.0,927.0,3.0,5.0,0.0
778711.0,0.0,2.0,1.0,2.0,466.0,3.0,5.0,0.0
778711.0,0.0,3.0,1.0,3.0,626.0,3.0,5.0,0.0
778711.0,0.0,4.0,1.0,4.0,477.0,3.0,5.0,2.0
778711.0,0.0,5.0,0.0,5.0,876.0,3.0,5.0,0.0
778711.0,0.0,1.0,1.0,1.0,696.0,4.0,3.0,0.0
778711.0,0.0,2.0,1.0,2.0,563.0,4.0,3.0,0.0
778711.0,0.0,3.0,1.0,3.0,527.0,4.0,3.0,0.0
778711.0,0.0,4.0,1.0,4.0,526.0,4.0,3.0,1.0
778711.0,1.0,5.0,1.0,0.0,398.0,4.0,3.0,0.0
778711.0,0.0,1.0,1.0,1.0,1004.0,5.0,5.0,0.0
778711.0,0.0,2.0,1.0,2.0,423.0,5.0,5.0,0.0
778711.0,0.0,3.0,1.0,3.0,352.0,5.0,5.0,0.0
