subj_idx,isblow,pump_idx,choice,reward,reaction_time,trial,HE,PCPP
783321.0,0.0,1.0,1.0,1.0,829.0,4.0,5.0,0.0
783321.0,0.0,2.0,1.0,2.0,1075.0,4.0,5.0,0.0
783321.0,0.0,3.0,1.0,3.0,1152.0,4.0,5.0,0.0
783321.0,0.0,4.0,1.0,4.0,1086.0,4.0,5.0,1.0
783321.0,1.0,5.0,1.0,0.0,662.0,4.0,5.0,0.0
783321.0,0.0,1.0,1.0,1.0,847.0,5.0,5.0,0.0
783321.0,0.0,2.0,1.0,2.0,865.0,5.0,5.0,0.0
783321.0,0.0,3.0,1.0,3.0,468.0,5.0,5.0,2.0
783321.0,0.0,4.0,0.0,4.0,422.0,5.0,5.0,0.0
783321.0,0.0,1.0,1.0,1.0,2343.0,6.0,3.0,0.0
783321.0,0.0,2.0,1.0,2.0,718.0,6.0,3.0,0.0
783321.0,0.0,3.0,1.0,3.0,460.0,6.0,3.0,2.0
783321.0,0.0,4.0,0.0,4.0,582.0,6.0,3.0,0.0
783321.0,0.0,1.0,1.0,1.0,1186.0,7.0,3.0,0.0
783321.0,0.0,2.0,1.0,2.0,395.0,7.0,3.0,0.0
783321.0,0.0,3.0,1.0,3.0,485.0,7.0,3.0,2.0
783321.0,0.0,4.0,0.0,4.0,587.0,7.0,3.0,0.0
783321.0,0.0,1.0,1.0,1.0,591.0,8.0,3.0,0.0
783321.0,0.0,2.0,1.0,2.0,452.0,8.0,3.0,0.0
783321.0,0.0,3.0,1.0,3.0,450.0,8.0,3.0,1.0
783321.0,1.0,4.0,1.0,0.0,806.0,8.0,3.0,0.0
783321.0,0.0,1.0,1.0,1.0,692.0,9.0,5.0,0.0
783321.0,0.0,2.0,1.0,2.0,517.0,9.0,5.0,0.0
783321.0,0.0,3.0,1.0,3.0,1327.0,9.0,5.0,2.0
783321.0,0.0,4.0,0.0,4.0,845.0,9.0,5.0,0.0
783321.0,0.0,1.0,1.0,1.0,2343.0,10.0,3.0,0.0
783321.0,0.0,2.0,1.0,2.0,421.0,10.0,3.0,0.0
783321.0,0.0,3.0,1.0,3.0,829.0,10.0,3.0,2.0
783321.0,0.0,4.0,0.0,4.0,2493.0,10.0,3.0,0.0
783321.0,0.0,1.0,1.0,1.0,682.0,11.0,3.0,0.0
783321.0,0.0,2.0,1.0,2.0,846.0,11.0,3.0,0.0
783321.0,0.0,3.0,1.0,3.0,633.0,11.0,3.0,2.0
783321.0,0.0,4.0,0.0,4.0,539.0,11.0,3.0,0.0
783321.0,0.0,1.0,1.0,1.0,714.0,12.0,3.0,0.0
783321.0,0.0,2.0,1.0,2.0,640.0,12.0,3.0,2.0
783321.0,0.0,3.0,0.0,3.0,1140.0,12.0,3.0,0.0
783321.0,0.0,1.0,1.0,1.0,1161.0,13.0,3.0,0.0
783321.0,0.0,2.0,0.0,2.0,929.0,13.0,3.0,0.0
783321.0,0.0,1.0,1.0,1.0,1590.0,14.0,3.0,0.0
783321.0,0.0,2.0,0.0,2.0,446.0,14.0,3.0,0.0
783321.0,0.0,1.0,1.0,1.0,1172.0,15.0,3.0,0.0
783321.0,0.0,2.0,0.0,2.0,659.0,15.0,3.0,0.0
783321.0,0.0,1.0,1.0,1.0,708.0,16.0,3.0,0.0
783321.0,0.0,2.0,1.0,2.0,805.0,16.0,3.0,0.0
787011.0,0.0,1.0,1.0,1.0,633.0,1.0,0.0,0.0
787011.0,0.0,2.0,1.0,2.0,627.0,1.0,0.0,0.0
787011.0,0.0,3.0,1.0,3.0,519.0,1.0,0.0,0.0
787011.0,0.0,4.0,1.0,4.0,350.0,1.0,0.0,0.0
787011.0,0.0,5.0,1.0,5.0,390.0,1.0,0.0,0.0
787011.0,0.0,6.0,1.0,6.0,605.0,1.0,0.0,1.0
787011.0,1.0,7.0,1.0,0.0,644.0,1.0,0.0,0.0
787011.0,0.0,1.0,1.0,1.0,459.0,2.0,5.0,0.0
787011.0,0.0,2.0,1.0,2.0,542.0,2.0,5.0,0.0
787011.0,0.0,3.0,1.0,3.0,322.0,2.0,5.0,0.0
787011.0,0.0,4.0,1.0,4.0,379.0,2.0,5.0,0.0
787011.0,0.0,5.0,1.0,5.0,378.0,2.0,5.0,1.0
787011.0,1.0,6.0,1.0,0.0,388.0,2.0,5.0,0.0
787011.0,0.0,1.0,1.0,1.0,106.0,3.0,5.0,0.0
787011.0,0.0,2.0,1.0,2.0,130.0,3.0,5.0,0.0
787011.0,0.0,3.0,1.0,3.0,345.0,3.0,5.0,0.0
787011.0,0.0,4.0,1.0,4.0,890.0,3.0,5.0,0.0
787011.0,0.0,5.0,1.0,5.0,812.0,3.0,5.0,2.0
787011.0,0.0,6.0,0.0,6.0,394.0,3.0,5.0,0.0
787011.0,0.0,1.0,1.0,1.0,1182.0,4.0,3.0,0.0
787011.0,0.0,2.0,1.0,2.0,276.0,4.0,3.0,0.0
