PID,Trial,Index,RT,HE,PCPP
787011,6.0,6,465.0,5.0,0
787011,7.0,1,406.0,5.0,0
787011,7.0,2,184.0,5.0,0
787011,7.0,3,317.0,5.0,0
787011,7.0,4,1410.0,5.0,2
787011,7.0,5,412.0,5.0,0
787011,8.0,1,498.0,3.0,0
787011,8.0,2,473.0,3.0,0
787011,8.0,3,857.0,3.0,0
787011,8.0,4,523.0,3.0,0
787011,8.0,5,489.0,3.0,2
787011,8.0,6,539.0,3.0,0
787011,9.0,1,609.0,3.0,0
787011,9.0,2,314.0,3.0,0
787011,9.0,3,374.0,3.0,2
787011,9.0,4,604.0,3.0,0
787011,10.0,1,1093.0,3.0,0
787011,10.0,2,324.0,3.0,0
787011,10.0,3,520.0,3.0,0
787011,10.0,4,630.0,3.0,0
787011,10.0,5,488.0,3.0,2
787011,10.0,6,451.0,3.0,0
787011,11.0,1,764.0,3.0,0
787011,11.0,2,431.0,3.0,0
787011,11.0,3,460.0,3.0,0
787011,11.0,4,687.0,3.0,0
787011,11.0,5,640.0,3.0,2
787011,11.0,6,411.0,3.0,0
787011,12.0,1,1154.0,3.0,0
787011,12.0,2,486.0,3.0,0
787011,12.0,3,443.0,3.0,0
787011,12.0,4,365.0,3.0,2
787011,12.0,5,191.0,3.0,0
787011,13.0,1,485.0,3.0,0
787011,13.0,2,449.0,3.0,0
787011,13.0,3,167.0,3.0,2
787011,13.0,4,682.0,3.0,0
787011,14.0,1,2295.0,3.0,0
787011,14.0,2,642.0,3.0,0
787011,14.0,3,1256.0,3.0,0
787021,1.0,1,1550.0,0.0,0
787021,1.0,2,342.0,0.0,0
787021,1.0,3,441.0,0.0,0
787021,1.0,4,410.0,0.0,0
787021,1.0,5,480.0,0.0,0
787021,1.0,6,438.0,0.0,2
787021,1.0,7,442.0,0.0,0
787021,2.0,1,490.0,3.0,0
787021,2.0,2,164.0,3.0,0
787021,2.0,3,689.0,3.0,0
787021,2.0,4,256.0,3.0,0
787021,2.0,5,363.0,3.0,0
787021,2.0,6,470.0,3.0,2
787021,2.0,7,503.0,3.0,0
787021,3.0,1,363.0,3.0,0
787021,3.0,2,127.0,3.0,0
787021,3.0,3,109.0,3.0,0
787021,3.0,4,604.0,3.0,0
787021,3.0,5,392.0,3.0,0
787021,3.0,6,1030.0,3.0,2
787021,3.0,7,407.0,3.0,0
787021,4.0,1,451.0,3.0,0
787021,4.0,2,397.0,3.0,0
787021,4.0,3,361.0,3.0,0
787021,4.0,4,495.0,3.0,0
787021,4.0,5,2522.0,3.0,0
787021,4.0,6,936.0,3.0,1
787021,4.0,7,454.0,3.0,0
787021,5.0,1,663.0,5.0,0
787021,5.0,2,167.0,5.0,0
787021,5.0,3,277.0,5.0,1
787021,5.0,4,455.0,5.0,0
787021,6.0,1,397.0,5.0,0
787021,6.0,2,186.0,5.0,0
787021,6.0,3,166.0,5.0,0
787021,6.0,4,239.0,5.0,0
787021,6.0,5,449.0,5.0,2
787021,6.0,6,316.0,5.0,0
787021,7.0,1,125.0,3.0,0
787021,7.0,2,242.0,3.0,0
787021,7.0,3,867.0,3.0,0
787021,7.0,4,692.0,3.0,0
787021,7.0,5,424.0,3.0,0
787021,7.0,6,383.0,3.0,1
787021,7.0,7,806.0,3.0,0
787021,8.0,1,485.0,5.0,0
787021,8.0,2,239.0,5.0,0
787021,8.0,3,114.0,5.0,0
787021,8.0,4,351.0,5.0,0
787021,8.0,5,735.0,5.0,1
787021,8.0,6,362.0,5.0,0
787021,9.0,1,759.0,5.0,0
787021,9.0,2,236.0,5.0,0
787021,9.0,3,290.0,5.0,0
787021,9.0,4,453.0,5.0,0
787021,9.0,5,1905.0,5.0,2
787021,9.0,6,426.0,5.0,0
787021,10.0,1,734.0,3.0,0
787021,10.0,2,376.0,3.0,0
787021,10.0,3,404.0,3.0,0
787021,10.0,4,449.0,3.0,1
787021,10.0,5,507.0,3.0,0
787021,11.0,1,263.0,5.0,0
787021,11.0,2,455.0,5.0,0
787021,11.0,3,2223.0,5.0,0
787021,11.0,4,867.0,5.0,2
787021,11.0,5,439.0,5.0,0
787021,12.0,1,897.0,3.0,0
787021,12.0,2,569.0,3.0,0
787411,1.0,1,665.0,0.0,0
787411,1.0,2,631.0,0.0,0
787411,1.0,3,723.0,0.0,0
787411,1.0,4,512.0,0.0,0
787411,1.0,5,577.0,0.0,0
787411,1.0,6,558.0,0.0,2
787411,1.0,7,552.0,0.0,0
787411,2.0,1,564.0,3.0,0
787411,2.0,2,458.0,3.0,0
787411,2.0,3,530.0,3.0,0
787411,2.0,4,655.0,3.0,0
787411,2.0,5,734.0,3.0,0
787411,2.0,6,540.0,3.0,2
787411,2.0,7,677.0,3.0,0
787411,3.0,1,590.0,3.0,0
787411,3.0,2,632.0,3.0,0
787411,3.0,3,665.0,3.0,0
787411,3.0,4,985.0,3.0,0
787411,3.0,5,627.0,3.0,0
787411,3.0,6,383.0,3.0,2
787411,3.0,7,708.0,3.0,0
787411,4.0,1,773.0,3.0,0
787411,4.0,2,527.0,3.0,0
787411,4.0,3,599.0,3.0,0
787411,4.0,4,433.0,3.0,0
787411,4.0,5,761.0,3.0,2
787411,4.0,6,712.0,3.0,0
787411,5.0,1,682.0,3.0,0
787411,5.0,2,475.0,3.0,0
787411,5.0,3,528.0,3.0,0
787411,5.0,4,497.0,3.0,0
787411,5.0,5,647.0,3.0,2
787411,5.0,6,673.0,3.0,0
787411,6.0,1,837.0,3.0,0
787411,6.0,2,633.0,3.0,0
787411,6.0,3,874.0,3.0,0
787411,6.0,4,840.0,3.0,0
787411,6.0,5,625.0,3.0,1
787411,6.0,6,716.0,3.0,0
787411,7.0,1,1105.0,5.0,0
787411,7.0,2,1017.0,5.0,0
787411,7.0,3,956.0,5.0,0
787411,7.0,4,629.0,5.0,2
787411,7.0,5,887.0,5.0,0
787411,8.0,1,1046.0,3.0,0
787411,8.0,2,998.0,3.0,0
787411,8.0,3,999.0,3.0,0
787411,8.0,4,690.0,3.0,2
787411,8.0,5,498.0,3.0,0
787411,9.0,1,852.0,3.0,0
787411,9.0,2,621.0,3.0,0
787411,9.0,3,681.0,3.0,0
787411,9.0,4,775.0,3.0,2
787411,9.0,5,919.0,3.0,0
787411,10.0,1,718.0,3.0,0
787411,10.0,2,540.0,3.0,0
787411,10.0,3,629.0,3.0,0
787411,10.0,4,1269.0,3.0,2
787411,10.0,5,752.0,3.0,0
787411,11.0,1,641.0,3.0,0
787411,11.0,2,841.0,3.0,0
787411,11.0,3,824.0,3.0,2
787411,11.0,4,654.0,3.0,0
787411,12.0,1,1044.0,3.0,0
787411,12.0,2,949.0,3.0,0
787411,12.0,3,955.0,3.0,2
787411,12.0,4,1151.0,3.0,0
787411,13.0,1,769.0,3.0,0
787411,13.0,2,568.0,3.0,0
787411,13.0,3,619.0,3.0,1
787411,13.0,4,739.0,3.0,0
787411,14.0,1,771.0,5.0,0
787411,14.0,2,827.0,5.0,0
787411,14.0,3,927.0,5.0,0
787421,1.0,1,657.0,0.0,0
787421,1.0,2,709.0,0.0,0
787421,1.0,3,812.0,0.0,0
787421,1.0,4,1360.0,0.0,0
787421,1.0,5,751.0,0.0,2
787421,1.0,6,1515.0,0.0,0
787421,2.0,1,770.0,3.0,0
787421,2.0,2,570.0,3.0,0
787421,2.0,3,581.0,3.0,0
787421,2.0,4,739.0,3.0,2
787421,2.0,5,393.0,3.0,0
787421,3.0,1,773.0,3.0,0
787421,3.0,2,588.0,3.0,0
787421,3.0,3,478.0,3.0,0
787421,3.0,4,623.0,3.0,0
787421,3.0,5,546.0,3.0,2
787421,3.0,6,1340.0,3.0,0
787421,4.0,1,742.0,3.0,0
787421,4.0,2,575.0,3.0,0
787421,4.0,3,630.0,3.0,0
787421,4.0,4,531.0,3.0,2
787421,4.0,5,580.0,3.0,0
787421,5.0,1,660.0,3.0,0
787421,5.0,2,504.0,3.0,0
787421,5.0,3,604.0,3.0,0
787421,5.0,4,554.0,3.0,2
787421,5.0,5,418.0,3.0,0
787421,6.0,1,659.0,3.0,0
787421,6.0,2,563.0,3.0,0
787421,6.0,3,598.0,3.0,2
787421,6.0,4,571.0,3.0,0
787421,7.0,1,556.0,3.0,0
787421,7.0,2,402.0,3.0,0
787421,7.0,3,460.0,3.0,1
787421,7.0,4,1189.0,3.0,0
787421,8.0,1,659.0,5.0,0
787421,8.0,2,580.0,5.0,0
787421,8.0,3,540.0,5.0,2
787421,8.0,4,518.0,5.0,0
787421,9.0,1,684.0,3.0,0
787421,9.0,2,477.0,3.0,0
787421,9.0,3,417.0,3.0,2
787421,9.0,4,412.0,3.0,0
787421,10.0,1,656.0,3.0,0
787421,10.0,2,385.0,3.0,0
787421,10.0,3,397.0,3.0,2
787421,10.0,4,537.0,3.0,0
787421,11.0,1,588.0,3.0,0
787421,11.0,2,552.0,3.0,0
787421,11.0,3,527.0,3.0,2
787421,11.0,4,420.0,3.0,0
787421,12.0,1,539.0,3.0,0
787421,12.0,2,490.0,3.0,1
787421,12.0,3,547.0,3.0,0
787421,13.0,1,581.0,5.0,0
787421,13.0,2,529.0,5.0,2
787421,13.0,3,504.0,5.0,0
787421,14.0,1,770.0,3.0,0
787421,14.0,2,592.0,3.0,2
787421,14.0,3,530.0,3.0,0
787421,15.0,1,562.0,3.0,0
787421,15.0,2,507.0,3.0,2
787421,15.0,3,551.0,3.0,0
787421,16.0,1,656.0,3.0,0
787421,16.0,2,433.0,3.0,2
787421,16.0,3,528.0,3.0,0
787421,17.0,1,665.0,3.0,0
787421,17.0,2,512.0,3.0,0
787421,17.0,3,569.0,3.0,0
787611,1.0,1,845.0,0.0,0
787611,1.0,2,952.0,0.0,0
787611,1.0,3,783.0,0.0,0
787611,1.0,4,2492.0,0.0,0
787611,1.0,5,1378.0,0.0,0
787611,1.0,6,842.0,0.0,2
787611,1.0,7,747.0,0.0,0
787611,2.0,1,1124.0,3.0,0
787611,2.0,2,713.0,3.0,0
787611,2.0,3,1685.0,3.0,0
787611,2.0,4,2423.0,3.0,0
787611,2.0,5,726.0,3.0,0
787611,2.0,6,682.0,3.0,2
787611,2.0,7,676.0,3.0,0
787611,3.0,1,552.0,3.0,0
787611,3.0,2,553.0,3.0,0
787611,3.0,3,472.0,3.0,0
787611,3.0,4,1006.0,3.0,0
787611,3.0,5,1182.0,3.0,2
787611,3.0,6,546.0,3.0,0
787611,4.0,1,724.0,3.0,0
787611,4.0,2,777.0,3.0,0
787611,4.0,3,986.0,3.0,0
787611,4.0,4,1082.0,3.0,0
787611,4.0,5,651.0,3.0,1
787611,4.0,6,985.0,3.0,0
787611,5.0,1,2045.0,5.0,0
787611,5.0,2,905.0,5.0,0
787611,5.0,3,1022.0,5.0,0
787611,5.0,4,1337.0,5.0,2
787611,5.0,5,2482.0,5.0,0
787611,6.0,1,1372.0,3.0,0
787611,6.0,2,833.0,3.0,0
787611,6.0,3,802.0,3.0,0
787611,6.0,4,1198.0,3.0,2
787611,6.0,5,943.0,3.0,0
787611,7.0,1,1011.0,3.0,0
787611,7.0,2,999.0,3.0,0
787611,7.0,3,491.0,3.0,0
787611,7.0,4,633.0,3.0,2
787611,7.0,5,1275.0,3.0,0
787611,8.0,1,795.0,3.0,0
787611,8.0,2,576.0,3.0,0
787611,8.0,3,746.0,3.0,0
787611,8.0,4,681.0,3.0,2
787611,8.0,5,1557.0,3.0,0
787611,9.0,1,882.0,3.0,0
787611,9.0,2,716.0,3.0,0
787611,9.0,3,883.0,3.0,0
787611,9.0,4,1607.0,3.0,2
787611,9.0,5,916.0,3.0,0
787611,10.0,1,830.0,3.0,0
787611,10.0,2,796.0,3.0,0
787611,10.0,3,464.0,3.0,0
787611,10.0,4,426.0,3.0,2
787611,10.0,5,1029.0,3.0,0
787611,11.0,1,717.0,3.0,0
787611,11.0,2,560.0,3.0,0
787611,11.0,3,989.0,3.0,2
787611,11.0,4,933.0,3.0,0
787611,12.0,1,686.0,3.0,0
787611,12.0,2,1053.0,3.0,0
787611,12.0,3,1394.0,3.0,1
787611,12.0,4,2573.0,3.0,0
787611,13.0,1,995.0,5.0,0
787611,13.0,2,943.0,5.0,0
787611,14.0,1,2284.0,3.0,0
787611,14.0,2,947.0,3.0,0
787621,1.0,1,1137.0,0.0,0
787621,1.0,2,664.0,0.0,0
787621,1.0,3,869.0,0.0,0
787621,1.0,4,355.0,0.0,0
787621,1.0,5,783.0,0.0,1
787621,1.0,6,743.0,0.0,0
787621,2.0,1,856.0,5.0,0
787621,2.0,2,567.0,5.0,0
787621,2.0,3,687.0,5.0,0
787621,2.0,4,400.0,5.0,0
787621,2.0,5,1261.0,5.0,1
787621,2.0,6,1917.0,5.0,0
787621,3.0,1,695.0,5.0,0
787621,3.0,2,379.0,5.0,0
787621,3.0,3,621.0,5.0,0
787621,3.0,4,425.0,5.0,0
787621,3.0,5,2208.0,5.0,2
787621,3.0,6,338.0,5.0,0
787621,4.0,1,826.0,3.0,0
787621,4.0,2,414.0,3.0,0
787621,4.0,3,420.0,3.0,0
787621,4.0,4,870.0,3.0,2
787621,4.0,5,386.0,3.0,0
787621,5.0,1,995.0,3.0,0
787621,5.0,2,463.0,3.0,0
787621,5.0,3,448.0,3.0,0
787621,5.0,4,1044.0,3.0,1
787621,5.0,5,403.0,3.0,0
787621,6.0,1,964.0,5.0,0
787621,6.0,2,619.0,5.0,0
